country_code_3,country_name,Energy_Access_Baseline_Year,Electricity_Access_Pct
ESP,Spain,2023,100.0
EST,Estonia,2023,100.0
EUU,European Union,2023,100.0
CHI,Channel Islands,2023,100.0
FIN,Finland,2023,100.0
CHE,Switzerland,2023,100.0
CAN,Canada,2023,100.0
ALB,Albania,2023,100.0
AND,Andorra,2023,100.0
ARE,United Arab Emirates,2023,100.0
ARG,Argentina,2023,100.0
ARM,Armenia,2023,100.0
ATG,Antigua and Barbuda,2023,100.0
AUS,Australia,2023,100.0
AUT,Austria,2023,100.0
AZE,Azerbaijan,2023,100.0
BEL,Belgium,2023,100.0
BGR,Bulgaria,2023,100.0
BHR,Bahrain,2023,100.0
BHS,"Bahamas, The",2023,100.0
BIH,Bosnia and Herzegovina,2023,100.0
BLR,Belarus,2023,100.0
BMU,Bermuda,2023,100.0
BRB,Barbados,2023,100.0
BRN,Brunei Darussalam,2023,100.0
BTN,Bhutan,2023,100.0
CEB,Central Europe and the Baltics,2023,100.0
FRA,France,2023,100.0
FRO,Faroe Islands,2023,100.0
GBR,United Kingdom,2023,100.0
LIE,Liechtenstein,2023,100.0
LKA,Sri Lanka,2023,100.0
LTU,Lithuania,2023,100.0
LUX,Luxembourg,2023,100.0
LVA,Latvia,2023,100.0
MAC,"Macao SAR, China",2023,100.0
MAF,St. Martin (French part),2023,100.0
MAR,Morocco,2023,100.0
MCO,Monaco,2023,100.0
MDA,Moldova,2023,100.0
MDV,Maldives,2023,100.0
MHL,Marshall Islands,2023,100.0
MKD,North Macedonia,2023,100.0
MLT,Malta,2023,100.0
MNE,Montenegro,2023,100.0
MNG,Mongolia,2023,100.0
MNP,Northern Mariana Islands,2023,100.0
MUS,Mauritius,2023,100.0
MYS,Malaysia,2023,100.0
LBN,Lebanon,2023,100.0
KWT,Kuwait,2023,100.0
KOR,"Korea, Rep.",2023,100.0
KNA,St. Kitts and Nevis,2023,100.0
GEO,Georgia,2023,100.0
GIB,Gibraltar,2023,100.0
GRC,Greece,2023,100.0
GRL,Greenland,2023,100.0
GTM,Guatemala,2023,100.0
GUM,Guam,2023,100.0
HKG,"Hong Kong SAR, China",2023,100.0
HRV,Croatia,2023,100.0
HUN,Hungary,2023,100.0
NCL,New Caledonia,2023,100.0
IMN,Isle of Man,2023,100.0
IRN,"Iran, Islamic Rep.",2023,100.0
IRQ,Iraq,2023,100.0
ISL,Iceland,2023,100.0
ISR,Israel,2023,100.0
ITA,Italy,2023,100.0
JOR,Jordan,2023,100.0
JPN,Japan,2023,100.0
KAZ,Kazakhstan,2023,100.0
KGZ,Kyrgyz Republic,2023,100.0
IRL,Ireland,2023,100.0
LCA,St. Lucia,2023,100.0
