country_code_3,country_name,year,v2x_partipdem,v2x_delibdem,v2x_cspart,v2xeg_eqaccess,v2x_libdem,transition_capacity_score
GTM,Guatemala,2025,0.5362702881748923,0.5432209841511523,0.7772669220945083,0.7456279809220986,0.5916012399031608,0.6259105856242018
IRN,Iran,2025,0.05343083547787091,0.1083581332041433,0.157088122605364,0.37124980768244525,0.11645586804534246,0.1450207180507445
IRQ,Iraq,2025,0.2852956913904247,0.0002422312962834798,0.7118773946360153,0.31381096466485464,0.00018100776070774035,0.2608587554627145
IRL,Ireland,2025,0.7885188676841541,0.9273306111149558,0.9744572158365262,0.8902507820913893,0.9298594927257506,0.8968703540896538
ITA,Italy,2025,0.7248197314444416,0.0006344152997900661,0.9008939974457216,0.9343556079798964,0.7262257619295427,0.6106295416616181
JOR,Jordan,2025,0.16808928070935356,0.3090640644104551,0.6597701149425288,0.3671470331811888,0.3099079123017399,0.3528006010908973
LVA,Latvia,2025,0.7579432822890921,0.788912727524396,0.9111111111111112,0.8984563310939022,0.8495372989116908,0.8311352691764333
LSO,Lesotho,2025,0.51461258185339,0.5559092901469536,0.7578544061302682,0.8594799733319658,0.5791569563545037,0.63499688867911
LBR,Liberia,2025,0.40887201569546716,0.5593697372367176,0.9182630906768838,0.8605056669572799,0.47168359843428287,0.6255414461771573
MWI,Malawi,2025,0.46620123831120847,0.5397605370613883,0.9509578544061303,0.6174162777578337,0.5225920311333349,0.6126832610580505
MDV,Maldives,2025,0.4025021020714959,0.4797794541721456,0.6761174968071519,0.4738191702138571,0.4705522999298595,0.4974496089438982
MNG,Mongolia,2025,0.35791270670369707,0.516690889796295,0.6914431673052363,0.567157290117442,0.4796026879652465,0.5139535292984485
MAR,Morocco,2025,0.19229495248044434,0.32059888804300174,0.6648786717752235,0.5056156725985949,0.2838880467000023,0.3796247523806958
NLD,Netherlands,2025,0.7044360078477335,0.8558147045931667,0.8436781609195403,0.0008615826452638598,0.8755571645134286,0.6902611223679371
PAN,Panama,2025,0.5617499426707774,0.0005767411816273328,0.6454661558109834,0.5527975793630443,0.6504287621331765,0.450158853349731
PNG,Papua New Guinea,2025,0.00028027619945473537,0.2859944171453618,0.6168582375478927,0.5856197753730961,0.4343507477883114,0.34793589931999375
QAT,Qatar,2025,0.0432389736795169,6.920894179527994e-05,0.18467432950191573,0.10046669059951792,0.10288028599226193,0.07826395804447817
SLE,Sierra Leone,2025,0.39103625754834764,0.4993886543474749,0.9213282247765007,0.0007179855377198831,0.39362400162906985,0.46602317100427426
ESP,Spain,2025,0.7286416796188243,0.799294068793688,0.9100893997445721,0.8656341350838505,0.8382243138674571,0.8195805843947386
SYR,Syria,2025,0.07381455907457894,0.19140886335847923,0.3542784163473819,0.36612133955587467,0.06102224132859696,0.20123307601041165
TUN,Tunisia,2025,0.30822738043672127,0.0003114402380787598,0.4881226053639847,0.834863326324427,0.29972622576192953,0.34494765905445046
TUR,Türkiye,2025,0.21013071062756386,2.3069647265093322e-05,0.3624521072796935,0.5825426944971537,5.656492522116887e-05,0.21241875543800218
UKR,Ukraine,2025,0.3209672076846638,0.3759660414792257,0.741507024265645,0.6861377506538797,0.00020363373079620788,0.4254859248018028
GBR,United Kingdom,2025,0.6789563533518485,0.7669965626225573,0.9080459770114943,0.8379404072003692,0.7793967916374415,0.7856980042215719
URY,Uruguay,2025,0.9120951919891965,0.9042609638498625,0.8630906768837804,0.8594799733319658,0.0008258479082290654,0.7557530475225502
DZA,Algeria,2025,0.12095191989196626,0.21101806353380856,0.308301404853129,0.0007077286014667419,0.1424757336470801,0.16613029616435154
AGO,Angola,2025,0.13114378169032026,0.19948323990126188,0.44214559386973185,0.4327914252012924,0.18433377831074507,0.2636546546986475
ARM,Armenia,2025,0.40632405024587864,0.433640159641959,0.6699872286079183,0.0007897840914918713,0.41964386723080754,0.40705354589188797
AZE,Azerbaijan,2025,0.054704818202665165,0.03914919140886335,0.08045977011494254,0.1476485973639674,0.059890942824173586,0.07068638745409178
BLR,Belarus,2025,0.06871862817540193,0.03684222668235402,0.11417624521072799,0.7569106108005539,0.04292146525782293,0.16920027416534109
