country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg
PLW,,,,100.0,7.33,12.76,,,,
PNG,-5.395610565423151,-26.76830630556701,0.201567125832725,20.5,17.31,0.79,36.9,19.8,,
POL,-0.0343960858250623,-0.0819944164134539,0.419493025618004,100.0,17.96,7.08,64.2,81.4,,
PRE,-0.278660829522916,-0.7121129028486044,0.391315518098623,52.53,40.71,,,,,
PRI,,,,100.0,7.19,,,,1.408,3.308
PRK,,,,57.5,29.93,2.36,,,,
PRT,1.4532982712007654,9.899465982843116,0.146805724037993,100.0,8.45,3.41,61.9,59.8,,
PRY,2.483195200763774,14.2381194433263,0.174404717606699,99.8,10.09,1.15,39.5,47.5,,
PSE,,,,100.0,26.36,0.87,,,,
PSS,8.771890942001212,34.12898339700874,0.257021747174867,88.87,12.88,,,,,
PST,0.3754841545376208,1.9948702930315985,0.188224846421969,100.0,11.0,,,,,
PYF,,,,100.0,,3.27,,,,
QAT,-20.430462785398372,-26.82961921109877,0.761489107417029,100.0,75.66,41.27,46.8,50.1,,
ROU,2.8169075108831936,9.4336622809011,0.298601691157225,100.0,14.85,3.61,57.3,71.9,1.613,3.168
RUS,-7.622118648268229,-6.116745321422693,1.24610691597266,100.0,11.27,12.29,46.7,41.6,1.556,2.484
RWA,3.0043784955920896,19.83631046920972,0.151458533594518,63.9,31.29,0.14,33.9,49.9,,
SAU,-4.349547060148273,-5.874040050104095,0.740469425309961,100.0,53.15,20.38,42.5,45.4,,
SDN,2.668297532535073,3.560422501618908,0.749432835940625,66.0,45.83,0.35,39.1,39.2,,
SEN,8.499863408648,16.741430581109302,0.507714282090031,74.2,63.74,0.76,43.8,56.5,,
SGP,-1.235894116391401,-8.581137364699385,0.144024511421476,100.0,13.87,9.24,53.0,35.0,1.452,1.994
SHN,,,,,,2.16,,,,
SLB,2.8003205767086907,13.176072761469747,0.212530746255254,81.3,13.95,0.36,42.2,13.2,,
SLE,1.0128417446918714,6.809892320832938,0.148730948592736,35.5,43.22,0.17,39.9,45.3,,
SLV,8.844407306472482,26.933439200836084,0.328380168626884,98.3,20.03,1.42,41.6,35.5,,
SMR,,,,100.0,10.69,,,,,
SOM,2.340928104022508,24.032674308651018,0.0974060595153926,50.3,24.53,0.07,,,,
SPM,,,,,,9.79,,,,
SRB,,,,100.0,22.51,6.24,49.8,53.4,1.582,3.053
SSD,,,,5.4,30.74,0.14,,,,
SST,3.6753368117678527,10.936880608598075,0.336049824744221,94.79,18.1,,,,,
STP,7.436423791527024,16.22454683352213,0.458344006019469,81.3,27.34,0.6,36.2,33.2,,
SUR,4.0538913511761425,7.233360786006017,0.560443681866247,99.6,27.31,4.71,56.9,64.8,,
SVK,-0.5242194448036874,-1.880434638345358,0.278775679895453,100.0,15.39,5.28,65.1,81.9,1.487,3.148
SVN,1.7429715437775264,7.269089261120112,0.239778530867696,100.0,14.29,6.02,62.4,64.9,,
SWE,-0.0716612017270032,-1.0870032140109869,0.0659254736355167,100.0,5.64,3.59,70.3,60.0,,
SWZ,-1.1875500598230146,-5.212715889980192,0.227817913902752,86.4,18.78,0.84,38.7,29.8,,
SXM,,,,100.0,,16.55,,,,
SYC,17.9171979795279,41.06606465737093,0.436301801232175,100.0,8.5,5.0,47.9,50.5,,
SYR,,,,88.4,24.71,1.29,,,,
TCA,2.2050812299171416,25.610498127053283,0.0861006771120877,100.0,,8.14,,,,
TCD,-1.9515247924505617,-11.635962138041704,0.167714948647899,12.0,49.14,0.14,35.9,60.3,,
TEA,-3.2208944844423955,-4.578903140090911,0.703420532363226,98.75,30.41,,,,,
TEC,1.197908454576326,1.5527240691221955,0.771488301365446,100.0,17.91,,,,,
TGO,5.49833634102062,18.537675385620243,0.296603334918989,59.2,51.67,0.33,35.7,54.8,,
THA,0.718694669510944,1.193173553171777,0.602338752481112,100.0,31.01,3.74,45.7,45.9,1.494,2.399
TJK,21.97384548547308,35.64344448515075,0.6164905160787,100.0,37.05,1.01,32.3,53.7,1.583,1.569
TKM,-17.536635540035572,-13.289250291144548,1.31961059923157,100.0,19.6,10.81,40.6,39.2,,
TLA,0.0388201996737987,0.1268077122301454,0.306134374566614,98.39,15.59,,,,,
TLS,20.394244457751014,46.936494513263696,0.43450719252133,100.0,17.41,0.48,49.9,44.4,,
TMN,3.038048801234286,3.341852397647443,0.909091258301227,96.06,39.27,,,,,
TON,,,,100.0,12.48,1.46,40.4,15.7,,
TSA,5.9061553432395835,7.024679830178887,0.840772175532615,99.41,47.32,,,,,
TSS,0.7450126548335533,1.6964870405431427,0.43915021867484,53.26,38.18,,,,,
