country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg
TTO,-1.044632668469888,-0.870257351384963,1.20037212763261,98.7,25.6,22.93,52.5,49.5,,
TUN,7.452844039095318,11.391127657961706,0.654267449446608,100.0,24.18,2.66,45.3,38.1,1.697,3.432
TUR,2.1708980937960085,6.212937939036041,0.349415705596575,100.0,21.61,5.87,37.2,20.0,1.43,2.13
TUV,,,,100.0,5.92,1.18,,,,
TWN,,,,,,11.3,50.1,38.4,1.368,2.547
TZA,2.0284423953659014,7.079220063002234,0.286534728022801,48.3,25.08,0.29,43.6,65.3,,
UGA,1.9653946832127025,11.742367029212984,0.167376362731904,51.5,33.81,0.13,35.8,51.9,,
UKR,23.80013399110133,15.776345092456744,1.50859618318574,100.0,14.9,3.76,54.6,53.8,1.492,3.16
URY,0.3822288505315653,2.822328745721333,0.135430307724083,100.0,10.57,2.35,44.1,28.9,1.341,2.49
USA,0.9102139516567418,4.434671502959237,0.205249464599432,100.0,7.81,14.2,57.2,40.7,1.568,2.921
UZB,14.151243276620551,13.477110815621824,1.05002054744681,100.0,31.96,3.83,42.6,44.0,1.544,1.716
VCT,5.366561236434458,38.800304692650805,0.138312347775221,100.0,23.93,2.54,54.2,35.1,,
VEN,,,,100.0,15.26,4.09,53.3,61.3,1.659,3.309
VGB,,,,100.0,,4.87,,,,
VIR,,,,100.0,8.63,,,,,
VNM,-5.418139935746672,-5.102770902699582,1.06180348658809,99.8,20.8,3.67,24.6,24.8,1.301,1.702
VUT,14.135603803060928,43.832006992704144,0.322495016151412,61.6,14.08,0.6,45.0,18.1,,
WLF,,,,,,2.7,,,,
WSM,13.758884303394256,41.85294333276712,0.328743529314037,100.0,12.55,1.13,47.1,25.6,,
XKX,,,,100.0,,,,,,
YEM,,,,83.6,34.83,0.25,,,,
ZAF,4.025984203189006,3.3460689968760566,1.20319820271122,87.7,23.75,6.87,42.7,39.5,,
ZMB,-0.0061410952979483,-0.0151942343820423,0.404172737074949,51.1,24.31,0.57,46.7,83.7,,
ZWE,2.549928796701895,4.677771854395431,0.545116109992811,62.0,19.49,0.82,51.6,70.2,1.463,2.528
