country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg,score_distributional,score_spatial,score_institutional,score_scale
CRI,0.5524435224371094,5.029867556134528,0.109832618110061,100.0,14.31,1.71,55.5,63.3,,2.667892307692308,0.040271712760795664,0.15732812352238235,0.03707564959923404,0.31082430694333574
CSS,-1.2582537086261816,-2.875370786672067,0.437597027297643,99.17,24.86,4.587298578199053,,47.477777777777774,,2.667892307692308,0.10130138736241012,0.22066973867840445,0.05935730051009713,0.09527573708540549
CUB,2.027031470861436,,0.42193568597923525,100.0,21.24,2.23,52.5,42.8,,2.667892307692308,0.05288694808345462,0.3234037431546007,0.018930013023171766,0.14493776482582432
CUW,2.027031470861436,,0.42193568597923525,100.0,24.339155555555553,12.34,,47.477777777777774,,2.667892307692308,0.29815623483745746,0.2271624393072308,0.018930013023171766,0.14493776482582432
CYM,2.027031470861436,,0.42193568597923525,100.0,24.339155555555553,4.587298578199053,,47.477777777777774,,2.667892307692308,0.11007517171758985,0.2271624393072308,0.018930013023171766,0.14493776482582432
CYP,5.669960123404599,24.51488874012161,0.231286390222323,100.0,13.51,5.37,53.9,51.2,1.529,2.716,0.1290635613779718,0.316315477265107,0.05137904839064911,0.30218278365011186
CZE,-3.035635824554503,-8.705161535399268,0.348716771332753,100.0,14.11,7.04,65.5,78.9,1.568,2.839,0.16957787481804942,0.032296959224202504,0.009400084180603896,0.1258124626028534
DEU,-0.8795060072187645,-5.57645795061333,0.157717679395759,100.0,10.29,6.77,74.5,82.4,1.38,2.622,0.1630276564774381,0.027781359881017043,0.07900396274086086,0.26496784099593385
DJI,2.146418640188589,9.225718215663376,0.232655993822184,65.2,35.92,0.48,32.3,17.5,,2.667892307692308,0.35743286423696696,0.4519833389214144,0.017460886553794186,0.2580160285200639
DMA,4.695161212876126,33.82294433273479,0.138815863181137,100.0,20.67,2.58,49.3,27.7,,2.667892307692308,0.06137797185832117,0.5164697942726467,0.01390282864498038,0.34471275857404793
DNK,-0.1704931688263084,-2.4218934582078635,0.0703966428616017,100.0,9.07,4.75,67.7,53.1,,2.667892307692308,0.11402231926249395,0.34826425605447076,0.0459717934210957,0.32518166233706647
DOM,4.188248540694989,12.822426822206252,0.326634622195048,99.6,19.83,2.9,47.7,57.0,,2.667892307692308,0.06491286378561689,0.16610356003748306,0.007664982245226382,0.22772721700795873
DZA,-1.1343472734021192,-1.3580163836705748,0.835297193054548,100.0,25.55,4.23,41.7,33.0,,2.667892307692308,0.101407083939835,0.39036614826468585,0.057832561924369696,0.1377041976431258
EAR,2.0534595263134623,3.157101465152511,0.650425571993539,95.7,37.42,4.587298578199053,,47.477777777777774,,2.667892307692308,0.06462062626304443,0.0641003046220594,0.0186048008917713,0.010533472951564815
ECU,-1.743175034427675,-3.95424704528334,0.440836147682515,98.7,16.66,2.54,51.3,49.8,1.434,2.913,0.04666549725958691,0.29428984086864574,0.06449945858325068,0.08739855299800803
EGY,6.79953745882723,11.24222742126703,0.604821198151932,100.0,54.86,2.22,43.7,47.5,,2.667892307692308,0.052644347404172676,0.15357551216912124,0.039798365509451594,0.09582734675059257
ERI,2.027031470861436,,0.42193568597923525,54.4,32.35,0.21,29.0,16.6,,2.667892307692308,0.47814798744015763,0.5075697005648259,0.018930013023171766,0.14493776482582432
ESP,0.4263594774796112,2.76755833997508,0.154056184226075,100.0,9.58,4.6,64.0,66.9,,2.667892307692308,0.11038330907326532,0.17195600030949354,0.038627184901203204,0.2831962601943825
EST,3.2550590774630104,8.42278958475073,0.38645855327506,100.0,6.15,6.11,75.7,78.8,,2.667892307692308,0.14701601164483258,0.06816169327452959,0.0038184405472305727,0.18096849734054854
ETH,2.027031470861436,,0.42193568597923525,55.4,27.31,0.14,36.3,45.8,1.533,2.201,0.4692753676708181,0.21079101436566672,0.2662246675212161,0.14493776482582432
FCS,1.258548456919145,2.2181247595153515,0.567392997855599,58.95,38.15,4.587298578199053,,47.477777777777774,,2.667892307692308,0.3238571750054545,0.055000329553497984,0.028386630039996197,0.04971196202599215
FIN,0.1087153677598691,0.8888203311746383,0.122314222511308,100.0,4.9,5.3,73.8,59.1,,2.667892307692308,0.12736535662299853,0.3263546798029555,0.042535974866332316,0.298004179456941
FJI,9.186319707011844,33.60976740501636,0.273322918195523,99.3,12.42,1.56,46.0,17.0,,2.667892307692308,0.029233125404548033,0.7510853772814415,0.06916906754728758,0.3206666518690061
FRA,0.3552190582391353,3.5209429433058292,0.100887479280087,100.0,9.6,3.97,67.0,61.5,,2.667892307692308,0.09509946627850563,0.23820914897824075,0.03950260789295201,0.31367186709262984
FRO,2.027031470861436,,0.42193568597923525,100.0,24.339155555555553,13.09,,47.477777777777774,,2.667892307692308,0.31635128578360017,0.2271624393072308,0.018930013023171766,0.14493776482582432
FSM,0.0136898636024134,22.69713685504996,0.0006031537673602,86.9,12.11,1.33,40.8,4.4,,2.667892307692308,0.10742491432041534,0.9101221640488656,0.04370531730246219,0.36860200453055514
GAB,-13.49001647594984,-43.60943309439685,0.30933712086441,94.1,29.95,2.13,53.3,64.0,,2.667892307692308,0.01190692340281052,0.046256415546901186,0.20987604176092112,0.020385698176706324
GBR,0.733153358306934,8.324253637383913,0.0880743656121156,100.0,9.91,4.53,72.6,71.5,1.345,3.049,0.10868510431829215,0.11119206664431425,0.16700597475121803,0.32587783916270907
GEO,16.353098754816614,30.583718617724525,0.534699490249015,100.0,17.04,3.09,47.3,44.4,,2.667892307692308,0.07375060650169818,0.35605533059947203,0.1573603267810033,0.2547367089534851
GHA,-1.9473859392212651,-6.012656359913996,0.323881130510695,89.5,54.24,0.61,36.9,45.0,,2.667892307692308,0.09740801946549893,0.11505858888057852,0.06783746137306323,0.153848375096457
GIB,2.027031470861436,,0.42193568597923525,100.0,24.339155555555553,4.587298578199053,,47.477777777777774,,2.667892307692308,0.11007517171758985,0.2271624393072308,0.018930013023171766,0.14493776482582432
GIN,-5.312338553749306,-15.749394138171006,0.337304311971853,51.1,43.77,0.27,36.5,61.0,,2.667892307692308,0.5115761042946987,0.18158684307808715,0.1092451015915672,0.10452572992089959
GMB,11.6312868872851,49.49113150099557,0.235017598800527,66.9,58.36,0.29,37.6,38.3,,2.667892307692308,0.344071875451991,0.08390503701029073,0.09925576799878999,0.37334015812137067
GNB,2.2266249439720314,11.368643459600753,0.195856695821669,40.5,50.21,0.16,42.0,53.8,,2.667892307692308,0.6262954517245163,0.17319612445086374,0.0164739027383366,0.28070178970309156
GNQ,-5.793368200789682,-11.452494606943924,0.505860810209596,66.9,35.38,3.7,41.7,45.3,,2.667892307692308,0.2613450438168625,0.11635029530859087,0.11516444276537319,0.0007832770304120329
GRC,3.4465150340715947,14.680055105492382,0.234775347183957,100.0,14.41,5.31,67.3,62.4,1.472,3.34,0.12760795730228036,0.16716529543754666,0.3545267768134075,0.2727647672640402
GRD,6.347025855180188,43.12091991253232,0.147191337013558,94.4,24.66,3.22,45.8,21.0,,2.667892307692308,0.017707797996210806,0.5492438896482947,0.034229954947704755,0.3601012705033386
GRL,2.027031470861436,,0.42193568597923525,100.0,6.56,11.08,,47.477777777777774,,2.667892307692308,0.26758854924793785,0.4487924013560409,0.018930013023171766,0.14493776482582432
GTM,3.832158116528382,15.801294537678412,0.242521782464756,100.0,21.64,1.08,32.5,36.0,1.549,3.323,0.02498786996603586,0.40216129781033183,0.35026809521071667,0.2729426223768273
GUM,2.027031470861436,,0.42193568597923525,100.0,9.58,4.587298578199053,,47.477777777777774,,2.667892307692308,0.11007517171758985,0.4111459291545949,0.018930013023171766,0.14493776482582432
GUY,-7.2036256077583,-52.20265861468759,0.137993462381464,98.9,25.46,5.43,49.0,56.5,,2.667892307692308,0.11889125847691917,0.1020791960040921,0.13251845573753718,0.19877640441652444
HKG,1.481195109716601,14.395241951493135,0.102894770001623,100.0,24.339155555555553,4.49,,47.477777777777774,1.51,2.502,0.10771470160116448,0.2271624393072308,0.11351352577029539,0.3263440347483969
HND,7.93568754722186,17.98425103223871,0.441257605501407,95.6,20.31,1.19,40.2,50.4,,2.667892307692308,0.01885515046884001,0.24140080296426203,0.05377933329228157,0.20625390385727327
HPC,1.1395827590165255,3.7307037246838224,0.305460535897448,50.53,36.16,4.587298578199053,,47.477777777777774,,2.667892307692308,0.4128635175001691,0.07980711090478187,0.029850570065727,0.2026970057088613
HRV,5.822448512635349,21.516073437022865,0.270609250785351,100.0,16.12,4.76,62.3,69.6,,2.667892307692308,0.11426491994177579,0.05717896474350703,0.027774734813818314,0.28087243838189124
HTI,2.381176032905062,9.213390897923556,0.258447303418084,51.3,21.35,0.25,36.4,30.0,,2.667892307692308,0.5099471407484,0.47966798201497596,0.014572064400914853,0.24569695499700728
HUN,-1.011423520830332,-3.747789583871423,0.269872013408379,100.0,14.14,4.14,59.8,66.9,,2.667892307692308,0.09922367782629793,0.11511232042916442,0.05631991580304685,0.19721250121281364
IBD,-1.0832707949149525,-1.5739832146164212,0.68823529047541,99.09,32.96,4.587298578199053,,47.477777777777774,,2.667892307692308,0.1004557214004651,0.11969741257518818,0.05720403704241639,0.05036033696125186
IBT,-0.7465241731644967,-1.1200885319266762,0.666486756971248,90.31,34.53,4.587298578199053,,47.477777777777774,,2.667892307692308,0.007643882076997954,0.10012623331814507,0.05306017989030154,0.03339241488889477
IDA,1.9906829561260284,5.287207951037566,0.376509298397347,67.5,38.84,4.587298578199053,,47.477777777777774,,2.667892307692308,0.23347662532257918,0.046398983255816484,0.019377302002559604,0.17127623330133557
IDB,1.4149449729388557,3.491116121877206,0.405298742162156,77.92,44.34,4.587298578199053,,47.477777777777774,,2.667892307692308,0.12332863377923886,0.02216247274019456,0.026462082681197874,0.14721570132494066
IDN,-1.4584869745291114,-2.223519144646923,0.655936324200486,99.4,17.88,2.87,33.6,30.7,1.323,1.853,0.062070896842908674,0.5143033382336506,0.4934379722025226,0.035932435679183916
IDX,2.1924419413402845,6.3082186001807,0.347553260325741,61.92,35.87,4.587298578199053,,47.477777777777774,,2.667892307692308,0.29246182616824523,0.08342216949366255,0.016894543869641843,0.1908329753878023
