Year,Number,Name,any_item_aggregated,NorthSouth,NorthNorth,SouthSouth,polity2max,competition,epimax,so2popmin_ln
1999,482,Hungary Latvia,7,0,0,1,20.0,0.0,53.2021722804358,2.575009706694449
1998,483,Hungary Lithuania,6,0,0,1,20.0,0.359281437125748,50.62044392875,3.3828998919779125
1994,487,Hungary Slovenia,5,0,0,1,20.0,1.0,44.6612014756393,4.289503357801949
1997,488,Hungary Turkey,1,0,0,1,20.0,0.97737556561086,48.8132536438593,0.0293791182669117
2009,489,India Korea,40,0,0,1,19.0,,47.2090982647943,0.0001451393272574
2004,490,India MERCOSUR,5,0,0,1,20.0,,51.5789843964962,0.0054316989805312
1991,491,India Nepal,2,0,0,1,18.0,0.595842956120092,38.0545145467993,0.0039162848424322
2009,492,India Nepal,1,0,0,1,19.0,,40.7565959894178,0.0001451393272574
2005,493,India Singapore,22,0,0,1,19.0,,59.9850855174769,0.0055517308091501
1998,494,India Sri Lanka,1,0,0,1,19.0,0.882882882882883,51.4344526507064,0.0048999250455688
2007,495,Indonesia Japan,28,1,0,0,20.0,,55.9803930539815,0.0603554065426215
1981,496,Inter-Arab Trade Agreement,0,0,0,1,10.0,1.0,,0.7908272994191435
2004,497,Iran Pakistan,5,0,0,1,5.0,0.965890545165277,40.7485493981562,0.0209776569206139
2006,498,Iran Syria,3,0,0,1,4.0,0.8961907,37.0789079621157,0.0039856692994527
1953,500,Iraq Jordan,0,0,0,1,9.0,,,1.214814296327175
1977,504,Iraq UAE,0,0,0,1,3.0,,,2.7977480855103547
1965,505,Ireland UK Free Trade Area,1,0,1,0,20.0,1.0,,0.1137431562655019
1995,506,Israel Jordan,2,0,0,1,19.0,0.0,46.7108508056645,3.1114737616981665
2007,508,Israel MERCOSUR,7,0,0,1,20.0,0.98844638621751,52.2485169353274,0.0040613904303468
2000,509,Israel Mexico,11,0,0,1,20.0,0.899598393574297,49.1844395286686,0.0283878353472166
1994,510,Israel PLO,37,0,0,1,19.0,,46.2053602492174,4.1671346234740145
1997,511,Israel Poland,5,0,0,1,19.0,0.235955056179775,54.8801241027832,0.0562169534715219
2001,512,Israel Romania,5,0,0,1,20.0,1.0,49.0559190191699,3.653062543934112
1996,513,Israel Slovakia,4,0,0,1,19.0,0.0,59.0050562934592,3.7668917954818046
1998,514,Israel Slovenia,5,0,0,1,20.0,0.148599269183922,48.5247407359545,4.160123188727348
1996,515,Israel Turkey,6,0,0,1,19.0,0.992125984251969,47.3419802415545,0.0291949177129933
1985,516,Israel US,3,1,0,0,20.0,0.999566536627655,,0.0863698600305831
2005,517,Japan Malaysia,28,1,0,0,20.0,1.0,55.4128210700191,2.0185232040675527
2004,518,Japan Mexico,31,1,0,0,20.0,0.999877635716255,55.2473281821448,0.0198148976345356
2006,519,Japan Philippines,24,1,0,0,20.0,0.9957488,56.0561970850124,0.065481851843637
2002,520,Japan Singapore,14,1,0,0,20.0,0.999209168275667,59.7662937046755,2.058514169733273
2009,521,Japan Switzerland,28,0,1,0,20.0,,63.0873952274913,0.0574601899421987
2007,522,Japan Thailand,34,1,0,0,20.0,0.994120653341599,55.9803930539815,0.0603554065426215
2008,523,Japan Vietnam,21,1,0,0,20.0,0.997329463574891,56.7098469641283,0.0600341294383627
2001,524,Jordan Kuwait,0,0,0,1,8.0,0.99497425079109,34.9436021546717,3.050893915155567
1986,525,Jordan Kuwait ,0,0,0,1,1.0,0.0,,3.263687517586056
1992,526,Jordan Lebanon,0,0,0,1,8.0,,27.6455915910363,2.7196498296845775
2002,527,Jordan Lebanon,2,0,0,1,8.0,0.993858932333502,36.5670896994282,3.1018289215345773
1992,528,Jordan Libya,0,0,0,1,8.0,,28.7540516692476,3.1456222342729245
1994,529,Jordan Morocco,1,0,0,1,8.0,0.0,33.3580403829568,2.5261976904537353
1998,530,Jordan Morocco,1,0,0,1,8.0,0.0,38.6772503108371,2.496296001608783
1995,531,Jordan PLO,0,0,0,1,8.0,,26.7691973745267,3.1114737616981665
1980,532,Jordan Qatar,0,0,0,1,0.0,0.0,,2.836014390892852
1962,533,Jordan Saudi Arabia,0,0,0,1,1.0,,,2.130895929136224
2004,534,Jordan Singapore,6,0,0,1,8.0,0.996025414854813,59.9175855174769,2.848223006706781
2003,535,Jordan Sudan,0,0,0,1,8.0,0.0,36.9351110080036,0.7263849647853531
1966,536,Jordan Sudan,0,0,0,1,17.0,0.0,,0.7464484404243295
2001,537,Jordan Syria,2,0,0,1,8.0,0.986759949800598,34.9436021546717,2.8636839156535268
1965,538,Jordan Syria,0,0,0,1,3.0,0.825668449197861,,1.7920167686496429
1975,539,Jordan Syria,0,0,0,1,1.0,0.979591836734694,,2.2286471021427903
1998,540,Jordan Tunisia,2,0,0,1,8.0,0.0,32.9398136499276,3.100738993227206
2009,541,Jordan Turkey,4,0,0,1,17.0,0.952069329951384,33.1027947323948,0.0041667965759558
2000,542,Jordan UAE,1,0,0,1,8.0,,32.9551825144029,3.1029391137239997
2000,543,Jordan US,30,1,0,0,20.0,0.0,49.6911664809581,0.0511867169297549
1995,544,Kazakhstan Kyrgyzstan,3,0,0,1,7.0,0.815144766146993,32.1515020412258,0.0926301477847037
1994,548,Kazakhstan Ukraine,5,0,0,1,17.0,,35.2950812309511,0.0400381584266802
2005,550,Korea Singapore,22,0,0,1,18.0,0.9997171145686,59.9850855174769,1.816752336342938
2007,551,Korea US,87,1,0,0,20.0,,49.6583313672456,0.0603554065426215
1972,554,Kuwait UAE,0,0,0,1,2.0,1.0,,4.191601300303007
1995,555,Kyrgyzstan Moldova,2,0,0,1,17.0,,31.9813656980323,1.4036199398725302
1992,556,Kyrgyzstan Russia,4,0,0,1,15.0,,44.3034342156068,0.0581144647059564
1995,558,Kyrgyzstan Ukraine,3,0,0,1,17.0,,36.2636716093814,0.0398646394870853
1996,559,Kyrgyzstan Uzbekistan,6,0,0,1,7.0,,35.1305421836288,1.6716890125731652
1991,560,Laos Thailand,0,0,0,1,9.0,0.835526315789474,46.5768483947274,2.076617142256517
1960,561,Latin American Free Trade Area (LAFTA),2,0,0,1,18.0,,,0.1441457291372088
1980,562,Latin American Integration Association (ALADI LAIA),2,0,0,1,19.0,1.0,,0.0127489619956646
1992,564,Latvia Norway,4,1,0,0,20.0,0.0,44.2315314826395,2.2650857190325957
1997,565,Latvia Poland,5,0,0,1,19.0,0.76410998552822,54.8801241027832,0.0562169534715219
1996,566,Latvia Slovakia,4,0,0,1,18.0,0.64797507788162,59.0050562934592,3.1344517750915686
1996,567,Latvia Slovenia,4,0,0,1,20.0,0.538258575197889,44.6052236125774,3.1344517750915686
1992,568,Latvia Sweden,4,1,0,0,20.0,0.991935483870968,44.2315314826395,2.5006569242629895
1992,569,Latvia Switzerland,4,1,0,0,20.0,0.0,52.3721242051827,1.8759443705905383
1998,570,Latvia Turkey,3,0,0,1,18.0,0.0,53.0361808073694,0.0296182467388316
1990,574,Libya Morocco,0,0,0,1,3.0,0.582441113490364,32.3895972018039,2.3988168716254097
1992,576,Lithuania Norway,6,1,0,0,20.0,0.0,44.4993654635837,2.2650857190325957
1996,577,Lithuania Poland,5,0,0,1,20.0,0.972533632286996,54.9133135838521,0.061987704745518
1996,578,Lithuania Slovakia,4,0,0,1,20.0,0.454175152749491,59.0050562934592,3.2250902157517585
1996,579,Lithuania Slovenia,6,0,0,1,20.0,0.0,49.922220918941,3.2250902157517585
1991,580,Lithuania Sweden,1,1,0,0,20.0,,42.3420284606425,2.561296213856246
1992,581,Lithuania Switzerland,4,1,0,0,20.0,0.0,52.3721242051827,1.8759443705905383
1997,582,Lithuania Turkey,2,0,0,1,20.0,0.0127728105736657,49.9940400468443,0.0293791182669117
2004,589,Macedonia Moldova,5,0,0,1,19.0,0.0,45.7688458254422,1.6413445761956749
2003,590,Macedonia Romania,9,0,0,1,19.0,0.817827298050139,45.6083397614823,3.555974160134117
1996,592,Macedonia Slovenia,5,0,0,1,20.0,,43.9728799901231,4.0012284329679
1999,593,Macedonia Turkey,3,0,0,1,17.0,,44.7137617747635,0.0279616512195344
2001,594,Macedonia Ukraine,4,0,0,1,16.0,0.917137468076668,44.956171582666,0.0267726396713065
