country_code_3,exports,imports,gdp,leakage_index,carbon_intensity,carbon_leakage_risk_score
EAR,2954748318882.35,3462764052760.33,16091207060823.4,3.157101465152511,0.650425571993539,2.0534595263134623
ECU,34421000000.0,29491000000.0,124676074700.0,-3.95424704528334,0.440836147682515,-1.743175034427675
EGY,42247000000.0,85986000000.0,389059911003.566,11.24222742126703,0.604821198151932,6.79953745882723
ESP,424234000000.0,471912000000.0,1722745978335.16,2.76755833997508,0.154056184226075,0.4263594774796112
EST,18832000000.0,22434000000.0,42764929169.3258,8.42278958475073,0.38645855327506,3.2550590774630104
FCS,367646600298.909,408278704886.74,1831822327104.31,2.2181247595153515,0.567392997855599,1.258548456919145
FIN,78011000000.0,80676000000.0,299835625550.781,0.8888203311746383,0.122314222511308,0.10871536775986917
FJI,1133000000.0,3096000000.0,5840564072.77313,33.60976740501636,0.273322918195523,9.186319707011844
FRA,639048000000.0,750383000000.0,3162079073495.78,3.5209429433058292,0.100887479280087,0.35521905823913535
FSM,185000000.0,292000000.0,471425099.488675,22.697136855049962,0.0006031537673602,0.013689863602413425
GAB,13100000000.0,4000000000.0,20867044935.6729,-43.60943309439685,0.30933712086441,-13.49001647594984
GBR,512633000000.0,815955000000.0,3643834188782.91,8.324253637383913,0.0880743656121156,0.733153358306934
GEO,6559000000.0,16889000000.0,33776141250.5716,30.583718617724525,0.534699490249015,16.353098754816614
GHA,20221000000.0,15241000000.0,82825288888.9734,-6.012656359913996,0.323881130510695,-1.9473859392212653
GIN,9859000000.0,5869000000.0,25334307878.737,-15.749394138171006,0.337304311971853,-5.312338553749306
GMB,264000000.0,1505000000.0,2507519958.34857,49.491131500995564,0.235017598800527,11.6312868872851
GNB,246000000.0,487000000.0,2119865935.24909,11.368643459600753,0.195856695821669,2.2266249439720314
GNQ,2979000000.0,1517000000.0,12765777677.0622,-11.452494606943924,0.505860810209596,-5.793368200789682
GRC,54025000000.0,91774000000.0,257144811301.673,14.680055105492382,0.234775347183957,3.4465150340715947
GRD,33000000.0,633000000.0,1391435992.59259,43.12091991253232,0.147191337013558,6.347025855180188
GTM,14601000000.0,32488000000.0,113199586004.477,15.801294537678412,0.242521782464756,3.8321581165283813
GUY,19792000000.0,6827000000.0,24835899825.8993,-52.20265861468759,0.137993462381464,-7.2036256077583
HKG,645537000000.0,704141000000.0,407106738445.069,14.395241951493135,0.102894770001623,1.481195109716601
HND,11083000000.0,17754000000.0,37093565854.0437,17.98425103223871,0.441257605501407,7.93568754722186
HPC,231681000000.0,276368000000.0,1197816907955.81,3.7307037246838224,0.305460535897448,1.1395827590165257
HRV,25955000000.0,45863000000.0,92526176108.621,21.516073437022865,0.270609250785351,5.822448512635349
HTI,711000000.0,3035000000.0,25224154990.7946,9.213390897923555,0.258447303418084,2.381176032905062
HUN,157208000000.0,148854000000.0,222904723252.11,-3.747789583871423,0.269872013408379,-1.011423520830332
IBD,8945969000000.0,8299027000000.0,41102217227752.3,-1.5739832146164212,0.68823529047541,-1.0832707949149523
IBT,9441873851078.25,8949110434065.33,43993256154967.7,-1.1200885319266762,0.666486756971248,-0.7465241731644967
IDA,496288209123.959,649305814484.808,2894109836001.83,5.287207951037566,0.376509298397347,1.9906829561260284
IDB,174080000000.0,211086000000.0,1060004843955.22,3.491116121877206,0.405298742162156,1.4149449729388557
IDN,264706000000.0,233659000000.0,1396300098190.97,-2.223519144646923,0.655936324200486,-1.4584869745291114
IDX,322907201589.258,438606553844.385,1834104992046.61,6.3082186001807,0.347553260325741,2.1924419413402845
IND,442762000000.0,718261000000.0,3912686168582.21,7.041172946917669,0.906840669388088,6.385221988460116
IRL,241612000000.0,143110000000.0,577389475009.922,-17.059888387869783,0.063890537283632,-1.0899654350997952
IRN,112556000000.0,69414000000.0,436906331671.859,-9.874427737156724,1.5516979887131,-15.322129659438936
IRQ,100990000000.0,87410000000.0,279641257615.385,-4.856221902233667,1.24004425366836,-6.021930064403291
ISL,6936000000.0,9809000000.0,33462807982.85,8.585651274311585,0.143657476266514,1.2333929941719823
ISR,62270000000.0,91538000000.0,540379921261.681,5.416189397205019,0.138160288888576,0.7483022917930878
ITA,674455000000.0,615369000000.0,2372774547793.12,-2.4901649444509992,0.147143089762119,-0.3664105639438355
JAM,1867000000.0,7288000000.0,19930288337.028,27.19980718958519,0.466466864173711,12.687808765855364
JOR,13286000000.0,26916000000.0,53352289577.4648,25.54716978023958,0.520277679455945,13.291622209930095
JPN,707009000000.0,743498000000.0,4026210821146.81,0.9062863724956811,0.211086929471385,0.1913052075918732
KAZ,82471000000.0,59133000000.0,288406138230.669,-8.092060780389538,1.05854014321004,-8.56577117733789
KEN,8237000000.0,20088000000.0,124498691699.125,9.518975531598532,0.206148497792326,1.962322506360945
KGZ,3828000000.0,12214000000.0,17478259659.2625,47.97960531245391,1.06909482139323,51.29474757203559
KHM,26661000000.0,28699000000.0,46352647034.7775,4.396728407917951,0.50490725393044,2.219940066719808
KIR,24000000.0,335000000.0,307862546.789627,101.01910844404107,0.290167355315314,29.312447533518302
KNA,31000000.0,368000000.0,1066681481.48148,31.593311204011098,0.132955477570836,4.2005037791733395
KWT,75993000000.0,37063000000.0,160227273001.348,-24.296737547091926,0.991823526848452,-24.09807592486792
LAO,9386000000.0,8663000000.0,16502933121.0806,-4.381039386728475,1.23272866544214,-5.400632836451245
LBR,1304000000.0,1667000000.0,4750000000.0,7.6421052631578945,0.23227393754048,1.7750618805725102
LBY,29064000000.0,18500000000.0,46636278901.9016,-22.651893008490546,1.12584204073171,-25.50245345111535
LCA,92000000.0,964000000.0,2549062962.96296,34.20864892981739,0.14430817292928,4.936587625441118
LKA,12772000000.0,18842000000.0,98963185509.6499,6.133593991280843,0.254325538716485,1.5599295961006956
LMY,8269209396830.87,7849577918082.39,39216943108499.1,-1.070025977260675,0.654207376454795,-0.7000188873221843
LSO,992000000.0,1855000000.0,2271541845.62002,37.99181607259553,0.431935603496928,16.41001800326084
LTE,7731023107540.54,6318424287143.41,29910723278948.7,-4.722717024336631,0.666225715215661,-3.14639552729985
LTU,39715000000.0,44748000000.0,84869215513.3648,5.930301075078781,0.235198681937988,1.3947989963539624
LUX,16215000000.0,25093000000.0,93197329011.7078,9.526024076167154,0.101368782699434,0.9656414645665647
LVA,20666000000.0,23736000000.0,43520773851.1219,7.054102508613504,0.222767950782162,1.5714279604511385
MAC,1678000000.0,16011000000.0,50183212761.3484,28.56134394615607,0.0398459350801395,1.1380534566800702
MAR,45226000000.0,75699000000.0,154430996472.752,19.732437590905977,0.515099100857704,10.16416086080643
MDA,3555000000.0,9065000000.0,18200340853.6517,30.274158293549096,0.887121397686204,26.85685361914666
MDG,2582000000.0,4833000000.0,17420814800.7045,12.921324437184015,0.323114857577861,4.175071905238048
MDV,383000000.0,3637000000.0,6975146349.42592,46.651350910620195,0.302277505278426,14.1016539711307
MEA,1693964443370.27,1549462955531.42,5025772564328.3,-2.8752094526617897,0.747222903745747,-2.1484223560951623
MEX,617100000000.0,643974000000.0,1852722885258.11,1.4505137392015361,0.352580864385478,0.5114233879706894
MHL,65000000.0,100000000.0,280357844.229802,12.484045201642873,0.0004583105003288,0.0057215690024923
MKD,8422000000.0,11966000000.0,16685236492.0675,21.240334242100133,0.603411955979977,12.816671630694124
MLI,5486000000.0,7072000000.0,26588067731.1692,5.965081840606008,0.332835912668027,1.985393458557575
MLT,3782000000.0,9461000000.0,24322006607.9295,23.34922480511342,0.0916896144289347,2.140881419595367
MMR,14924000000.0,12452000000.0,74079772652.4286,-3.3369432862574517,0.496740225535054,-1.6575939606132108
MNA,461277608344.33,538498682641.325,2153572215659.73,3.5857202157179078,0.909091258301227,3.2597469028231396
MNG,15783000000.0,11615000000.0,23586055802.4517,-17.67145823324453,1.69591573650197,-29.969304104696697
MOZ,8211000000.0,9210000000.0,22416650343.4786,4.4565088213129345,0.482173383840389,2.148809938487001
MRT,4145000000.0,4815000000.0,10766731873.5407,6.2228725287246025,0.574124808997437,3.57270550196941
MUS,2368000000.0,6843000000.0,14952555414.8553,29.927994753017977,0.296305772831198,8.867837614581031
MWI,947000000.0,3264000000.0,11008925322.5134,21.04655933364998,0.401157294783833,8.442980806794457
MYS,330419000000.0,300355000000.0,421972102253.57,-7.124641614798991,0.700383910076814,-4.989984352068904
NAM,6544000000.0,8882000000.0,13372354268.5446,17.4838323383311,0.298561656767316,5.22000194957411
NER,1749000000.0,2742000000.0,19537639288.0633,5.082497354768354,0.199783854512305,1.0154009120842158
NGA,53320000000.0,41263000000.0,187759703099.801,-6.42150568037023,0.243872379659249,-1.5660278712672728
NIC,7522000000.0,11468000000.0,19693982967.5926,20.0365766868659,0.362301585448572,7.259283500613411
NLD,921218000000.0,814044000000.0,1227543925316.41,-8.730767004722457,0.128997150069866,-1.1262440615332174
NOR,167916000000.0,99786000000.0,483727398216.364,-14.08437898105711,0.090103232546703,-1.2690480746060846
NPL,1316000000.0,12316000000.0,42914268286.7109,25.63250042272381,0.454278947441062,11.644305312317549
NRU,34000000.0,63000000.0,160350639.549467,18.085365971399018,0.0,0.0
