Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Comoros,COM,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.2019563,0.2019563,0.2019563,0.2019563,0.2019563
Comoros,COM,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,39.9381293,39.102479,40.3827762,39.8221258,40.3940827
"Congo, Dem. Rep.",COD,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.6808836,-1.70495509999999,-1.73411619999999,-1.65795039999999,-1.6934449
"Congo, Dem. Rep.",COD,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,18.6573441,18.1892974,17.6222884,19.1032577,18.413102
"Congo, Dem. Rep.",COD,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,12.5858517,12.1178049,11.7202486,13.201218,12.5317487
"Congo, Dem. Rep.",COD,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.1903994,0.1903994,0.1850854,0.1850854,0.1844367
"Congo, Dem. Rep.",COD,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,10,10,11,11,12
"Congo, Dem. Rep.",COD,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,24.7288366,24.2607899,23.5243282,25.0052975,24.2944553
"Congo, Dem. Rep.",COD,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.36869589999999,-1.3231263,-1.3074062,-1.2580246,-1.2848458
"Congo, Dem. Rep.",COD,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,33.2765131,33.9952104,34.2431387,35.0219567,34.5989483
"Congo, Dem. Rep.",COD,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,29.0580287,29.9886545,30.2365828,31.0154008,30.5956255
